TC001A TUH001A TUH002A TUH002B TUH002C TUH002D TUH002E TUH002F TVV001A TVV002A TVV003A TVC001A TVC002A TVC003A TVC003B TVC004AA TVC004AB TVC004AC TVC004AD TVC004AE TVC004AF TVC004AG TVC004AH TVC004AI TVC004AL TVC004AM TVC004AN TVC004BG TVC004BM TVC005A TVC005B TVC006A TVC006B TVC006C TVC006D TVC006E TVC006F TVC006G TVC006H TVC006I TVC006J TVC006K TVT001A TVT001B TVT002A TVT002B TVT002C TVT003A TVT003B TVT004A TVT005A TVT006A TVT006B TVE001AA TVE001BA TVE001CA TVE001DA TVE001EA TVE001FA TVE001GA TVE001HA TVE001IA TVE001JA TVE001KA TVE001LA TVE001MA TVE001NA TVE001OA TVE001PA TVE001AB TVE001LB TVE001MB TVE001NB TVE001OB TVE001PB TVE002A TVE002B TVE002CA TVE002CB TVE002CC TVE002DA TVE002DB TVE002DC TES001A TES001B TES001C TES001D TES001E TES001F TES001G TES001H TES001I TES001J TES001K TES001L TES001M TES002A TES002C TES002D TES002E TES002F TEM001A TEM001B TEM001C TEM001D TEM001E TEM002A TEM002B TEM002C TEM002D TEM002E TEM003A TEM003B TEM003C TEE001A TEE001B TEE001C TEE001D TEE001E TEE001F TEE001G TEE001H TEE001I TEE001J TEE001K TEE001L TSS001A TSS002A TSS003A TSS004A TSS004B TSS004C TSS004D TSS004E TSS004F TSS004G TSS004H TSS004I TSS005A TSS005B TSS005C TSS005D TSS005E TSS005F TSS005G TSS005H TSS005I TSS005J TSS005K TSI001AA TSI001AB TSI001BA TSI001BB TSI001CA TSI001CB TSI001DA TSI001DB TSI001EA TSI001EB TSI001FA TSI001FB TSI002A TSI002C TSI003A 
1 1 -1 -1 -1 -1 -1 -1 1951 2 2 2 2 77 72 1 1 1 6 6 6 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 1 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 1 6 -1 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6,0 1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6,0 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 5 5 1 3 6 1 7 6 6 6 -3 4 7 0 0 3 600 3 6 6 6 6 6 6 6 6 6 3 3 3 -1 -1 3 3 3 3 -3 -3 6,0 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
4 1 -1 -1 -1 -1 -1 -1 1982 2 2 2 4 107 100 1 1 1 6 6 6 1 6 6 1 1 1 3 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 2 6 -1 1 6 1 1 1 1 1 6 1 6 1 1 1 1 6 1 2 3 1 1 -1 3 6 -1 -1 -1 -1 -1 -1 -1 2 3 3 3 1 1 1 1 1 1 3 3 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 2 1 1 4 3 5 5 6 7 8 6 4 3 6 3 3 -3 4 6 6 6 6 6 6 6 6 6 3 4 4 -1 -1 3 3 3 3 3 2 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
4 1 -1 -1 -1 -1 -1 -1 1972 1 -1 2 4 107 100 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 1 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 1 6 -1 1 6 1 6 6 1 6 1,0 6 6 1 1 6 6 1 6 -1 2 -1 -1 1 -1 6 -1 -1 -1 -1 -1 -1 -1 2 3 3 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4,0 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 7 5 4 4 6 4 8 4 4 8 5 5 3 -3 3 6 6 6 6 6 1 6 6 6 2 2 2 3 -1 3 3 3 3 -3 -3 6 -1 6 -1 6 -1 6 -1 6 -1 6,0 -1 6 -1 6 
5 1 -1 -1 -1 -1 -1 -1 1959 1 -1 2 4 107 100 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 1 6 -1 1 6 1 1 6 1 6 6 1 6 1 1 6 6 6 1 2 1 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 2 2 2 2 4 -1 -1 -1 -1 -1 1 1 1 0 2 6 10 0 10 10 8 0 -3 0 0 3 -3 4 6 6 6 6 6 6 6 6 6 3 3 3 -1 -1 3 3 3 3 2 1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 2004 3 3 2 4 107 100 1 1 1 6 6 -1 6 1 6 1 1 1 -1 1 5 1 6 6 1 1 6 1 6 1 6 6 6 1 4 6 -1 -1 -1 -1 -1 1 6 -1 1 6 6 6 6 6 6 6 1 6 1 1 6 6 6 1 2 1 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 3 -3 -3 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 1 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 1 3 5 7 7 7 8 8 1 6 1 0 3 800 3 1 6 6 6 6 1 6 1 6 2 2 2 2 -1 3 3 3 3 2 -3 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
5 1 -1 -1 -1 -1 -1 -1 1962 1 -1 2 3 92 86 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 1 6 -1 1 6 1 1 6 1 6 6 1 6 1 1 1 6 6 1 3 3 1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 2 4 3 8 7 7 6 8 5 4 3 0 3 1200 4 6 6 6 6 6 1 6 6 6 2 2 2 -1 -1 3 3 3 3 -3 -3 6 -1 6 -1 6 -1 6 -1 1 6,96 6 -1 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 1971 1 -1 2 4 107 100 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 1 6 -1 1 6 1 6 6 6 6 6 1 6 1 6 6 6 6 6 2 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 3 3 3 2 1 1 1 1 1,0 1 3 3 1 6 6 6 6 6 2 4,0 2 4 4 -1 -1 -1 -1,0 -1 1 1 1 2 4 5 7 7 8 8 7 1 7 1 0 3 900 4 1 6 6 6 6 1 6 6 6 2 2 2 3 3 3 3 3 -3 -3 -3 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1,0 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 1954 1 -1 2 5 120 113 1 1 1 6 6 6 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 1 6 -1 1 6 6 6 6 6 6 6 6 6 1 6 6 6 6 6 2 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 3 1 1 2 1 1 1 1 1 1 1 1 1 1 6 6 6 6 1 1 4 4 4 4 4 -1 -1 -1 1 1 1 2 4 5 7 7 7 6 -3 5 7 3 1 3 901,52 4 6 6 6 6 6 1 6 6 6 3 3 3 3 3 3 3 3 3 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 1953 1 -1 2 6 135 127 1 1 1 6 6 6 6 1 6 1 1 1 -1 3 5 1 6 6 6 6 6 6 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 1 6 -1 1 6 1 6 6 6 6 6 1 6,0 1 6 6 6 6 6 2 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 3 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 2 3 5 7 7 8 6 -3 2 8 4 2 3 1000 4 1 6 6 6 6 1 6 6 6 3 3 2 3 -1 3 3 3 3 -3 -3 6,0 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 1996 3 3 2 3 92 86 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 4 4 -1 -1 -1 -1 -1 -1 2 6 -1 1 6 6 6 6 1 6 6 6 6 6 1 6 6 6 6 1 1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 5 0 6 8 8 8 7 8 5 8 5 4 3 900 4 6 6 6 6 6 1 6 6 6 2 2 2 -1 -1 3 3 3 3 2 1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 1949 1 -1 2 4 150 100 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 4 6 -1 -1 -1,0 -1 -1 1 6 -1 1 6 6 6 6 6 6 6 1 6,0 1 6 6 6 6 6 1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1,0 3 3 2 1 1 2 3 4 1 3 3 1 6 6 6 6 6 2 2 4 4 4 -1 -1 -1 -1 -1 1 5,0 1 1 0 6 7 7 6 8 7 0 7 3 1 3 900 4 1 6 6 6 6 1 6 6 6 3 3 2 3 -1 3 3 -3 -3 -3 -3 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
6 1 -1 -1 -1 -1 -1 -1 1980 2 2 2 5 120 113 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 1 6 -1 -1 -1 -1 -1 1 6 -1 1 6 1 1 1 1 1 1 1 6 1 1 1 6 6 1 2 2 1 -1 -1 2 6 -1 -1 -1 -1 -1 -1 -1 2 3 3 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 0 0 5 7 8 7 8 6 0 8 2 0 3 -3 4 6 6 6 6 6 6 6 6 6 3 3 3 -1 3 3 3 3 3 2 2 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
1 1 -1 -1 -1 -1 -1 -1 1987 2 2 2 4 78 78 1 1 1 6 6 6 6 6 6 1,0 1 1 -1 1 5 1,0 6 6 6 6 6 6 6 6,0 6 6 6 1 1 1 4800 28,85 -1 -1 -1 1 6 -1 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 3 4 4 2 1 1 2 3 4 1 3 3 1 6 6 6 6 6 2 1 4 4 4 -1 -3 -1 -1 -1 1 1 1 2 3 6 7 7 7 6 5 2 8 2 1 3 800 4 6 6 6 6 6 6 6 6 6 2 2 2 -1 -1 3 3 -3 -3 -3 -3 6 -1 6 -1 6 -1,0 6 -1 6 -1 6 -1 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 1958 1 -1 2 6 135 127 1 1 1 6 6 6 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 2 6 -1 1 6 1 6 6 6 6 6 1 6 1 6 6 6 6 6 2 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 1 4 4 4 4 4 -1 -1 -1 -1 1 1 1 4 2 4 8 8 7 7 5 0 7 0 0 3 800 4 6 6 6 6 6 1 6 6 6 2 2 2 3 -1 3 3 3 3 2 2 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
1 1 -1 -1 -1 -1 -1 -1 1950 2 2 2 5 120 113 1 1 1,0 6 6 6 6 1 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 2 6 -1 1 6 6 6 6 1 1 1 1 6 6 1 1 6 6 1 -1 1 -9 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 2 4 4 1 1 1 1 1 1,0 1 2 2 1 6 6 6 6,0 6 4 4 4 4 4 -1 -1 -1 -1 -1 1 1 1 3 5 5 7 7 6 8 7 2 8 4 -1 3 600 4 6 6 6 6 6 1 6 6 6 3 3 3 -1 3 3 3 3 3 4 4 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
4 1 -1 -1 -1 -1 -1 -1 1999 3 2 2 4 178 160 1 1 1 6 6 6 1 1 6 1 1 1 1 2 5 1 6 6 6 6 6 6 6 6 6 6 6 1 2 1 83193 500 -1 -1 -1 1 6 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 2 1 1 1 3 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 2 2 2 2 2 -1 -1 -1 -1 -1 3 3 1 8 6 7 7 8 5 5 6 0 6 6 0 4 2500 4 6 6 6 6 6 6 6 6 6 3 2 2 -1 4 3 3 3 3 3 3 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 1 
4 1 -1 -1 -1 -1 -1 -1 1999 2 2 2 2 80 70 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 1 1 6 6 6 6 6 6 6 6 6 6 6 3 4 -1 -1 -1 -1 -1 6 1 6 -1 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1,0 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 1 1 1 1 1 2 -1 2 2 2 1 1 1 5 6 4 6 6 5 6 6 2 0 0 0 1 901,52 1 6 6 6 1 6 1 1 1 1 1 1 1 -1 2 1 1 1 1 1 1 6 -1 6 -1 6 -1 6,0 -1 6 -1 6 -1 6 -1 6 
2 1 -1 -1 -1 -1 -1 -1 1946 1 -1 1 2 100 100 1 1 1 6 6 6 1 1 6 1 1 1 1 2 4 1 6 6 6 6 6 6 6 6 6 -9 -9 1 -9 -9 -1 -1 -1 -1 -1 -9 -9 -1 1 6 1 6 6 6 6 6 6 6 1 6 6 6 6 1 2 -1 -1 -1 -1 2 6 -1 -1 -1 -1 -1 -1 -1 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -1 -1 -1 -1 -1 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 1 -1 -1 -1 -1 -1 -1 1968 2 2 2 4 100 100 1 1 6 1 -1 6 6 1 6 1 1 1 -1 1 1 1 6 6 6 6 6 1 6 6 6 6 6 1 4 6 -1 -1 -1 -1 -1 3 6 -1 1 6 6 6 6 1 6 6 6 6 1 1 6 6 6 6 2 1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1,0 -1 -1 1 1 1 7 5 6 5 6 3 8 9 6 5 6 0 5 1200 4 6 6 6 6 6 6 6 6 6 3 2 2 2 -1 3 3 3 3 3 3 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
4 1 -1 -1 -1 -1 -1 -1 1999 3 2 4 3 75 75 1 1 1 6 6 6 6 6 6 1 1 1 -1 1 5 1 6 6 6 6 6 6 6 6 6 6 6 2 2 -1 -1 -1 49916 300 -1 1 6 -1 1 6 1 1 1 1 6 1 1 6 6 1 6 6 6 1 2 3 -1 -1 -1 1 6 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 6 6 6 6 1 1 1 1 1 4 4 4 3 3 1 5 1 7 10 5 9 8 9 5 5 6 6 5 0 1 1200 3 6 6 6 6 6 6 6 6 6 2 1 2 -1 -1 -7 3 3 3 3 3 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
3 1 -1 -1 -1 -1 -1 -1 2000 2 3 2 3 150 150 1 1 1 6 6 6 1 1 6 1 1 1,0 3 2 1 1 6 6 6 6 6 6 6 6 6 6,0 6 1 2 6 -1 -1 -1 -1 -1 2 6 -1 1 1 1 1 6 1 1 1 6 6 1 1 1 1 6 1 1 2 1 1 -1 1 6 -1 -1,0 -1 -1 -1 -1 -1 2 2 1 1 1 1 1 1 1 1 1 1,0 1 6 6 6 6 6 4 4 4 4 4 -1 -1 -1 -1 -1 5 5 1 8 8 10 8 8 8 7 7 6 6 3 0 5 1202,02 4 6 6 6 6 6 6 6 6 6 3 2 1 -1 -9 3 3 3 3 3 2 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
4 1 -1 -1 -1 -1 -1 -1 1988 1 -1 3 3 92 86 1 1 1 6 6 6 1 6 6 1 1 1 1 2 5 1 6 6 6 6 6 6 6 6 6 -9 -9 1 -9 -9 -1 -1 -1 -1 -1 -9 -9 -1 1 6 1 1 1 1 1 6 1 1 1 1 1 6 6 1 2 3 1 -1 -1 2 6 -1 -1 -1 -1 -1 -1 -1 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -1 -1 -1 -1 -1 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 -1 6 
